Mês/Ano,Mês (%),Acumulado no Ano (%),Acumulado nos Últimos 12 Meses (%),Acumulado a partir de Jan/93
04-2021,1.51,9.9023,32.0334,2473.0786
05-2021,4.10,14.4083,37.0630,2574.4748
06-2021,0.60,15.0947,35.7674,2589.9217
07-2021,0.78,15.9924,33.8417,2610.1231
08-2021,0.66,16.7580,31.1321,2627.3499
09-2021,-0.64,16.0107,24.8733,2610.5349
10-2021,0.64,16.7532,21.7403,2627.2423
11-2021,0.02,16.7766,17.8976,2627.7677
12-2021,0.87,17.7925,17.7925,2650.6293
01-2022,1.82,1.8200,16.9198,2698.8708
02-2022,1.83,3.6833,16.1216,2748.2601
03-2022,1.74,5.4874,14.7679,2796.0798
04-2022,1.41,6.9748,14.6548,2835.5045
05-2022,0.52,7.5310,10.7119,2850.2492
06-2022,0.59,8.1655,10.7009,2867.0656
07-2022,0.21,8.3926,10.0748,2873.0865
08-2022,-0.70,7.6339,8.5875,2852.9749
09-2022,-0.95,6.6113,8.2488,2825.8716
10-2022,-0.97,5.5772,6.5170,2798.4607
11-2022,-0.56,4.9860,5.8994,2782.7893
12-2022,0.45,5.4584,5.4584,2795.3118
01-2023,0.21,0.2100,3.7909,2801.1820
02-2023,-0.06,0.1499,1.8645,2799.5013
03-2023,0.05,0.1999,0.1724,2800.9010
04-2023,-0.95,-0.7520,-2.1588,2774.2925
05-2023,-1.84,-2.5781,-4.4559,2723.2455
06-2023,-1.93,-4.4584,-6.8495,2670.6868
07-2023,-0.72,-5.1463,-7.7140,2651.4579
08-2023,-0.14,-5.2791,-7.1935,2647.7459
09-2023,0.37,-4.9286,-5.9567,2657.5425
10-2023,0.50,-4.4532,-4.5607,2670.8302
11-2023,0.59,-3.8895,-3.4570,2686.5881
12-2023,0.74,-3.1783,-3.1783,2706.4689
01-2024,0.07,0.0700,-3.3136,2708.3634
02-2024,-0.52,-0.4504,-3.7586,2694.2799
03-2024,-0.47,-0.9182,-4.2588,2681.6168
04-2024,0.31,-0.6111,-3.0409,2689.9298
05-2024,0.89,0.2735,-0.3443,2713.8702
06-2024,0.81,1.0857,2.4400,2735.8525
07-2024,0.61,1.7023,3.8124,2752.5412
08-2024,0.29,2.0000,4.2600,2754.8312
